hairstylist_transaction_id,customer_transaction_id,transaction_date,items_used,I00001,I00002,I00003,I00004,I00005,I00006,I00007,I00008,I00009,I00010,I00011,I00012,I00013,I00014,I00015,I00016,I00017,I00018,I00019,I00020,Total_Item_Cost,Total_Service_Cost,Total_Transaction_Cost
HTID14,CTID14,2025-03-08,"I00014, I00016, I00013, I00015, I00018, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,10750,17000,27750
HTID15,CTID15,2025-03-08,"I00016, I00006, I00001, I00005, I00017",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6250,15000,21250
HTID16,CTID16,2025-03-08,"I00008, I00011, I00005, I00010, I00017, I00012",0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,8500,14000,22500
HTID17,CTID17,2025-03-09,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,3000,11250
HTID18,CTID18,2025-03-09,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,8000,17000
HTID19,CTID19,2025-03-09,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,5250,13500
HTID20,CTID20,2025-03-09,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,1500,10500
HTID21,CTID21,2025-03-09,"I00007, I00017, I00003, I00004",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5750,5000,10750
HTID22,CTID22,2025-03-10,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,4000,13000
HTID23,CTID23,2025-03-10,"I00016, I00006, I00001, I00005, I00017",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6250,10250,16500
HTID24,CTID24,2025-03-10,"I00007, I00017, I00003, I00004",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5750,10000,15750
HTID25,CTID25,2025-03-10,"I00014, I00016, I00013, I00015, I00018, I00020, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,11000,12000,23000
HTID26,CTID26,2025-03-11,"I00014, I00016, I00013, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,9000,3000,12000
HTID27,CTID27,2025-03-11,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,13250,22250
HTID28,CTID28,2025-03-11,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,5500,14500
HTID29,CTID29,2025-03-11,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,8000,16250
HTID30,CTID30,2025-03-13,"I00008, I00011, I00005, I00010, I00017",0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,7000,4000,11000
HTID31,CTID31,2025-03-13,"I00014, I00016, I00013, I00018, I00020, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,10250,5250,15500
HTID32,CTID32,2025-03-13,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,12750,21750
HTID33,CTID33,2025-03-14,"I00014, I00016, I00013, I00015, I00020, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,10000,5000,15000
HTID34,CTID34,2025-03-14,"I00014, I00016, I00013, I00015, I00018, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,10750,13250,24000
HTID35,CTID35,2025-03-14,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,13500,21750
HTID36,CTID36,2025-03-15,"I00014, I00016, I00013, I00018, I00020, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,10250,14250,24500
HTID37,CTID37,2025-03-16,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,12000,20250
HTID38,CTID38,2025-03-16,"I00014, I00016, I00013, I00015, I00020, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,10000,12000,22000
HTID39,CTID39,2025-03-17,"I00016, I00006, I00001, I00002, I00005, I00017",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7000,5750,12750
HTID40,CTID40,2025-03-17,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,5000,13250
HTID41,CTID41,2025-03-17,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,11000,20000
HTID42,CTID42,2025-03-17,"I00016, I00006, I00001, I00005, I00017",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6250,12000,18250
HTID43,CTID43,2025-03-17,"I00007, I00017, I00003, I00004",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5750,5000,10750
HTID44,CTID44,2025-03-18,"I00014, I00016, I00013, I00015, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,9750,12000,21750
HTID45,CTID45,2025-03-18,"I00007, I00017, I00003, I00004",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5750,13500,19250
HTID46,CTID46,2025-03-18,"I00007, I00017, I00003, I00004",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5750,5000,10750
HTID47,CTID47,2025-03-18,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,17000,26000
HTID48,CTID48,2025-03-19,"I00016, I00006, I00001, I00002, I00005, I00017",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7000,5250,12250
HTID49,CTID49,2025-03-19,"I00008, I00011, I00005, I00010, I00017",0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,7000,12000,19000
HTID50,CTID50,2025-03-20,"I00014, I00016, I00013, I00018, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,10000,11000,21000
HTID51,CTID51,2025-03-20,"I00017, I00005, I00010, I00008",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,5500,8000,13500
HTID52,CTID52,2025-03-20,"I00007, I00017, I00003, I00004",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5750,5000,10750
HTID53,CTID53,2025-03-20,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,1500,10500
HTID54,CTID54,2025-03-21,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,6000,14250
HTID55,CTID55,2025-03-21,"I00006, I00011, I00016",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5000,21000,26000
HTID56,CTID56,2025-03-21,"I00016, I00006, I00001, I00005, I00017",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6250,6000,12250
HTID57,CTID57,2025-03-22,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,7000,16000
HTID58,CTID58,2025-03-22,"I00014, I00016, I00013, I00015, I00018, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,10750,13500,24250
HTID59,CTID59,2025-03-22,"I00001, I00004, I00007, I00003, I00017",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6000,4000,10000
HTID60,CTID60,2025-03-22,"I00014, I00016, I00013, I00015, I00018, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,10750,4000,14750
HTID61,CTID61,2025-03-23,"I00008, I00011, I00005, I00010, I00017",0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,7000,12000,19000
HTID62,CTID62,2025-03-24,"I00014, I00016, I00013, I00015, I00018, I00020, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,11000,2250,13250
HTID63,CTID63,2025-03-24,"I00014, I00016, I00013, I00015, I00018, I00020, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,11000,5000,16000
HTID64,CTID64,2025-03-24,"I00007, I00017, I00003, I00004",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5750,12000,17750
HTID65,CTID65,2025-03-25,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,5000,14000
HTID66,CTID66,2025-03-26,"I00007, I00017, I00003, I00004",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5750,13250,19000
HTID67,CTID67,2025-03-26,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,11000,19250
HTID68,CTID68,2025-03-27,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,13500,22500
HTID69,CTID69,2025-03-27,"I00007, I00017, I00003, I00004",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5750,6000,11750
HTID70,CTID70,2025-03-28,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,12000,21000
HTID71,CTID71,2025-03-28,"I00008, I00011, I00005, I00010, I00017",0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,7000,12000,19000
HTID72,CTID72,2025-03-28,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,10000,19000
HTID73,CTID73,2025-03-29,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,4000,12250
HTID74,CTID74,2025-03-29,"I00014, I00016, I00013, I00015, I00018, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,10750,8000,18750
HTID75,CTID75,2025-03-30,"I00007, I00017, I00003, I00004",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5750,10000,15750
HTID76,CTID76,2025-03-30,"I00008, I00005, I00010, I00017, I00012",0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,7000,14250,21250
HTID77,CTID77,2025-03-30,"I00008, I00011, I00005, I00010, I00017, I00012",0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,8500,19500,28000
HTID78,CTID78,2025-03-30,"I00001, I00004, I00007, I00003, I00017",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6000,12000,18000
HTID79,CTID79,2025-04-01,"I00016, I00006, I00001, I00002, I00005, I00017",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7000,11000,18000
HTID80,CTID80,2025-04-01,"I00005, I00011, I00010",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4000,8000,12000
HTID81,CTID81,2025-04-01,"I00014, I00016, I00013, I00015, I00018, I00020, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,11000,12000,23000
HTID82,CTID82,2025-04-02,"I00016, I00006, I00001, I00002, I00005, I00017",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7000,12000,19000
HTID83,CTID83,2025-04-02,"I00008, I00011, I00005, I00010, I00017, I00012",0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,8500,13500,22000
HTID84,CTID84,2025-04-02,"I00014, I00016, I00013, I00015, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,9750,1500,11250
HTID85,CTID85,2025-04-02,"I00017, I00005, I00010, I00008",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,5500,16250,21750
HTID86,CTID86,2025-04-03,"I00016, I00006, I00001, I00005, I00017",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6250,5000,11250
HTID87,CTID87,2025-04-03,"I00014, I00016, I00013, I00015, I00018, I00020, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,11000,11000,22000
HTID88,CTID88,2025-04-04,"I00014, I00016, I00013, I00015, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,9750,11000,20750
HTID89,CTID89,2025-04-04,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,6500,15500
HTID90,CTID90,2025-04-04,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,14000,22250
HTID91,CTID91,2025-04-04,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,12000,20250
HTID92,CTID92,2025-04-05,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,4000,13000
HTID93,CTID93,2025-04-05,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,12000,20250
HTID94,CTID94,2025-04-06,"I00007, I00017, I00003, I00004",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5750,8000,13750
HTID95,CTID95,2025-04-07,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,5000,13250
HTID96,CTID96,2025-04-07,"I00014, I00016, I00013, I00015, I00018, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,10750,15000,25750
HTID97,CTID97,2025-04-07,"I00014, I00016, I00013, I00015, I00018, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,10750,1000,11750
HTID98,CTID98,2025-04-07,"I00014, I00016, I00013, I00015, I00020, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,10000,11000,21000
HTID99,CTID99,2025-04-08,"I00014, I00016, I00013, I00015, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,9750,4000,13750
HTID100,CTID100,2025-04-08,"I00014, I00016, I00013, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,9000,13500,22500
HTID101,CTID101,2025-04-08,"I00014, I00016, I00013, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,9000,13000,22000
HTID102,CTID102,2025-04-08,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,11000,19250
HTID103,CTID103,2025-04-08,"I00014, I00016, I00013, I00018, I00020, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,10250,12000,22250
HTID104,CTID104,2025-04-09,"I00007, I00017, I00003, I00004",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5750,3000,8750
HTID105,CTID105,2025-04-09,"I00008, I00011, I00005, I00010, I00017",0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,7000,9000,16000
HTID106,CTID106,2025-04-09,"I00014, I00016, I00013, I00015, I00018, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,10750,4000,14750
HTID107,CTID107,2025-04-11,"I00014, I00016, I00013, I00020, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,9250,1500,10750
HTID108,CTID108,2025-04-11,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,5250,13500
HTID109,CTID109,2025-04-11,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,4000,12250
HTID110,CTID110,2025-04-11,"I00014, I00016, I00013, I00015, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,9750,13500,23250
HTID111,CTID111,2025-04-12,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,10000,18250
HTID112,CTID112,2025-04-12,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,4000,13000
HTID113,CTID113,2025-04-12,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,13500,21750
HTID114,CTID114,2025-04-12,"I00007, I00017, I00003, I00004",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5750,4000,9750
HTID115,CTID115,2025-04-12,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,12000,21000
HTID116,CTID116,2025-04-12,"I00007, I00017, I00003, I00004",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5750,5000,10750
HTID117,CTID117,2025-04-13,"I00007, I00017, I00003, I00004",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5750,3000,8750
HTID118,CTID118,2025-04-13,"I00014, I00016, I00013, I00015, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,9750,16000,25750
HTID119,CTID119,2025-04-14,"I00014, I00016, I00013, I00018, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,10000,13500,23500
HTID120,CTID120,2025-04-14,"I00008, I00005, I00010, I00017, I00012",0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,7000,12000,19000
HTID121,CTID121,2025-04-14,"I00014, I00016, I00013, I00015, I00020, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,10000,3000,13000
HTID122,CTID122,2025-04-17,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,6000,14250
HTID123,CTID123,2025-04-17,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,10250,19250
HTID124,CTID124,2025-04-17,"I00001, I00004, I00007, I00003, I00017",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6000,13500,19500
HTID125,CTID125,2025-04-17,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,19250,28250
HTID126,CTID126,2025-04-17,"I00017, I00005, I00010, I00008",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,5500,1500,7000
HTID127,CTID127,2025-04-18,"I00014, I00016, I00013, I00015, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,9750,8000,17750
HTID128,CTID128,2025-04-18,"I00008, I00011, I00005, I00010, I00017, I00012",0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,8500,8000,16500
HTID129,CTID129,2025-04-18,"I00016, I00006, I00001, I00002, I00005, I00017",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7000,12000,19000
HTID130,CTID130,2025-04-18,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,3000,12000
HTID131,CTID131,2025-04-19,"I00014, I00016, I00013, I00015, I00018, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,10750,5000,15750
HTID132,CTID132,2025-04-19,"I00008, I00011, I00005, I00010, I00017",0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,7000,9000,16000
HTID133,CTID133,2025-04-20,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,5000,14000
HTID134,CTID134,2025-04-20,"I00014, I00016, I00013, I00020, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,9250,16500,25750
HTID135,CTID135,2025-04-20,"I00001, I00004, I00007, I00003, I00017",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6000,10000,16000
HTID136,CTID136,2025-04-21,"I00008, I00005, I00010, I00017, I00012",0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,7000,8000,15000
HTID137,CTID137,2025-04-21,"I00014, I00016, I00013, I00018, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,10000,20000,30000
HTID138,CTID138,2025-04-21,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,5000,14000
HTID139,CTID139,2025-04-23,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,10000,19000
HTID140,CTID140,2025-04-23,"I00014, I00016, I00013, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,9000,8000,17000
HTID141,CTID141,2025-04-24,"I00016, I00006, I00001, I00002, I00005, I00010, I00017",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9000,5000,14000
HTID142,CTID142,2025-04-24,"I00007, I00017, I00003, I00004",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5750,18000,23750
HTID143,CTID143,2025-04-24,"I00014, I00016, I00013, I00015, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,9750,12000,21750
HTID144,CTID144,2025-04-25,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,10000,18250
HTID145,CTID145,2025-04-25,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,3000,11250
HTID146,CTID146,2025-04-25,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,13500,21750
HTID147,CTID147,2025-04-26,"I00014, I00016, I00013, I00015, I00018, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,10750,11000,21750
HTID148,CTID148,2025-04-28,"I00014, I00016, I00013, I00015, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,9750,13250,23000
HTID149,CTID149,2025-04-28,"I00014, I00016, I00013, I00015, I00020, I00019, I00017",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,10000,10000,20000
HTID150,CTID150,2025-04-28,"I00016, I00006, I00001, I00005, I00010, I00017",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,8250,7000,15250
HTID151,CTID151,2025-04-29,"I00007, I00017, I00003, I00004",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5750,8000,13750
